player_name,teams,end_year,start_year,years,pa,defense,position_adj,dWAR,park_wOBA,OPS_plus,wRC_plus,rAA,oWAR,replacement,noD_WAR,WAR
Ruben Tejada,Mil/,2016,2012,3,991,2.799,8.969,1.18,0.3023,93.4540,93.4573,-7.200,-0.73,28.32,3.00,3.28
Rusney Castillo,Mil/,2019,2015,6,1524,-5.981,2.046,-0.40,0.2863,82.5342,80.8388,-29.890,-2.98,43.54,1.58,0.98
Russ Adams,COL,2009,2006,4,348,0.000,2.942,0.29,0.3342,98.1965,97.7209,-0.840,-0.09,9.94,1.20,1.20
Russ Branyan,WAS,2006,2006,1,589,0.000,-10.518,-1.05,0.4152,151.9700,157.0600,38.990,3.90,16.83,4.53,4.53
Russ Canzler,Pit,2013,2012,2,215,-1.194,-3.806,-0.50,0.3460,123.9394,122.6352,5.220,0.52,6.14,0.75,0.64
Russ Johnson,Pit,2007,2007,1,232,0.000,0.829,0.08,0.4120,146.8100,146.2400,13.020,1.30,6.63,2.05,2.05
Russell Branyan,Ari/,2012,2007,4,1112,-3.575,-11.657,-1.52,0.3318,103.4621,105.2438,5.740,0.57,31.77,2.58,2.22
Russell Martin,ChA/,2019,2006,10,5132,-3.345,93.384,9.02,0.3069,89.0723,90.3539,-55.490,-5.54,146.63,18.46,18.13
Rusty Ryal,Was,2011,2010,2,130,-0.589,0.180,-0.04,0.2842,73.4052,74.3262,-3.550,-0.35,3.71,0.04,-0.02
Ryan Braun,NYN/,2019,2007,12,7411,-40.638,-75.605,-11.62,0.3676,130.9335,135.1854,281.220,28.12,211.74,41.73,37.67
Ryan Christianson,BOS,2006,2006,1,50,0.000,0.893,0.09,0.2520,48.3000,44.4900,-3.220,-0.32,1.43,-0.09,-0.09
Ryan Church,ATL,2011,2006,6,2848,-0.195,-25.242,-2.55,0.3622,117.1122,118.0233,60.520,6.05,81.37,11.66,11.64
Ryan Cordell,Atl,2018,2017,2,663,-0.128,-5.184,-0.53,0.2878,82.1082,80.7470,-13.350,-1.34,18.94,0.04,0.02
Ryan Doumit,Oak/,2013,2006,5,2567,-8.360,44.936,3.66,0.3102,89.3520,87.6107,-36.500,-3.65,73.34,8.18,7.34
Ryan Flaherty,Ari,2017,2014,4,685,-0.393,0.484,0.01,0.2810,82.1859,77.5137,-15.530,-1.55,19.57,0.46,0.42
Ryan Freel,MIN/,2010,2007,4,663,0.000,1.625,0.16,0.3004,69.2514,73.3865,-21.280,-2.12,18.94,-0.06,-0.06
Ryan Garko,CHA/,2010,2008,3,1310,0.000,-23.393,-2.34,0.3691,121.8525,123.4707,35.760,3.58,37.43,4.98,4.98
Ryan Goins,Cin,2015,2014,2,326,5.179,1.502,0.67,0.2025,29.9905,15.6576,-27.970,-2.80,9.31,-1.72,-1.20
Ryan Hanigan,KC/A,2017,2009,8,2616,6.599,49.941,5.65,0.2687,67.5276,65.2417,-93.440,-9.35,74.74,3.12,3.78
Ryan Harvey,CHA,2009,2009,1,31,0.000,-0.332,-0.03,0.3445,104.3500,107.6000,0.270,0.03,0.89,0.09,0.09
Ryan Howard,Min/,2015,2006,10,6438,-29.874,-127.037,-15.70,0.3621,124.1692,125.6677,188.120,18.82,183.94,24.51,21.52
Ryan Klesko,SD/S,2007,2006,2,1071,0.000,-19.125,-1.91,0.3282,92.2832,93.6153,-8.450,-0.84,30.60,0.31,0.31
Ryan Langerhans,ATL,2006,2006,1,168,0.000,-1.800,-0.18,0.4073,148.6400,151.5600,10.050,1.00,4.80,1.30,1.30
Ryan Lavarnway,Was,2018,2017,2,161,-0.690,2.101,0.15,0.2122,31.8692,23.1627,-12.930,-1.29,4.60,-0.62,-0.69
Ryan Ludwick,SD/S,2013,2010,4,2030,-8.877,-20.092,-2.89,0.3153,96.5556,94.8233,-11.020,-1.11,58.00,2.68,1.79
Ryan McMahon,LAA,2018,2018,1,486,-0.172,-12.561,-1.27,0.2870,82.5900,80.3800,-9.970,-1.00,13.89,-0.87,-0.89
Ryan Raburn,Min/,2017,2008,8,2475,-3.634,-18.399,-2.21,0.3392,108.9497,108.0511,26.030,2.60,70.71,11.62,11.26
Ryan Roberts,KC/P,2016,2009,7,2032,1.399,5.995,0.75,0.3080,96.6609,94.5593,-12.100,-1.21,58.06,5.20,5.34
Ryan Rohlinger,Tor/,2012,2010,3,202,3.174,2.178,0.53,0.3100,92.6405,92.8915,-1.680,-0.17,5.77,0.62,0.94
Ryan Rua,SF,2018,2017,2,944,-13.889,-1.071,-1.50,0.2612,64.3969,60.1953,-39.370,-3.93,26.97,-1.34,-2.73
Ryan Schimpf,Oak,2017,2016,2,466,-6.114,1.355,-0.47,0.3487,124.0970,126.8479,13.210,1.32,13.31,2.79,2.18
Ryan Shealy,BAL,2007,2006,2,1042,0.000,-21.214,-2.12,0.3379,99.9588,99.5393,-0.560,-0.06,29.77,0.80,0.80
Ryan Spilborghs,Bal/,2011,2007,4,1898,-0.866,-12.560,-1.34,0.3068,81.0402,80.6640,-43.940,-4.39,54.23,-0.22,-0.31
Ryan Sweeney,SD/L,2015,2009,7,3040,31.398,-14.600,1.67,0.3138,97.1522,95.3715,-13.780,-1.37,86.86,5.86,9.00
Ryan Theriot,Atl/,2013,2008,6,2056,-4.517,14.778,1.03,0.3039,82.7362,82.5270,-40.470,-4.04,58.74,3.31,2.86
Ryan Wheeler,Mia,2014,2013,2,373,-8.379,-1.839,-1.02,0.2527,60.8957,53.8758,-17.950,-1.79,10.66,-0.91,-1.75
Ryan Zimmerman,Cle/,2019,2006,14,7903,35.119,8.263,4.35,0.3407,113.0688,113.4291,116.650,11.65,225.80,35.06,38.57
Rymer Liriano,ChA,2016,2016,1,150,8.298,-1.782,0.65,0.2657,73.0900,67.4700,-4.830,-0.48,4.29,-0.23,0.60
Ryon Healy,Tor,2017,2017,1,87,-0.123,-1.763,-0.19,0.2655,68.5300,63.2700,-3.350,-0.33,2.49,-0.26,-0.27
Sal Fasano,Ari/,2007,2006,2,492,0.000,8.785,0.88,0.2420,44.9525,37.6152,-35.640,-3.56,14.06,-1.28,-1.28
Salvador Perez,SD/T,2019,2012,8,4269,21.071,72.347,9.35,0.2917,87.9004,84.6732,-69.390,-6.94,121.97,12.49,14.60
Sam Fuld,LAN/,2015,2010,6,1768,24.919,-6.615,1.83,0.2902,80.1113,77.1410,-44.240,-4.42,50.51,3.75,6.24
Sammy Sosa,MIN/,2008,2006,2,514,0.000,-8.064,-0.81,0.2774,63.5523,61.0928,-23.210,-2.32,14.69,-1.66,-1.66
Sandy Alomar,WAS,2006,2006,1,208,0.000,3.714,0.37,0.2345,40.1100,32.4500,-16.300,-1.63,5.94,-0.66,-0.66
Sandy Leon,LAN,2018,2017,2,370,0.850,4.744,0.56,0.2759,73.0729,71.5979,-11.000,-1.10,10.57,0.43,0.52
Scooter Gennett,Sea/,2019,2015,4,1743,-2.931,-0.174,-0.31,0.2752,77.2353,72.3277,-49.520,-4.94,49.80,0.02,-0.27
Scott Cousins,NYN,2012,2011,2,629,19.388,-0.206,1.92,0.2972,87.6562,84.1714,-10.940,-1.10,17.97,0.68,2.62
Scott Hairston,StL/,2015,2007,9,1477,-15.032,-13.218,-2.82,0.3181,96.7088,95.0213,-8.000,-0.80,42.20,2.10,0.60
Scott Hatteberg,Cin/,2008,2006,3,336,0.000,-6.079,-0.61,0.3131,83.1145,82.6832,-6.990,-0.70,9.60,-0.35,-0.35
Scott Moore,KC/L,2015,2013,3,564,-9.910,-5.586,-1.56,0.2718,71.5926,69.6375,-17.940,-1.80,16.12,-0.75,-1.74
Scott Podsednik,Det/,2012,2006,7,3693,-64.954,-13.811,-7.88,0.3043,83.7445,82.3265,-73.500,-7.35,105.51,1.82,-4.68
Scott Rolen,Was/,2013,2006,7,3659,11.091,8.900,2.01,0.3431,106.3928,106.9343,31.400,3.13,104.54,14.47,15.58
Scott Schebler,Pit,2019,2016,4,614,-4.381,-0.284,-0.47,0.2951,90.2740,85.8565,-9.060,-0.90,17.54,0.83,0.39
Scott Seabol,Was/,2007,2006,2,515,0.000,1.840,0.19,0.3085,81.8483,81.1190,-11.740,-1.18,14.72,0.48,0.48
Scott Sizemore,Tor/,2014,2011,4,1837,-27.036,6.003,-2.11,0.3137,99.1618,97.7860,-4.560,-0.45,52.49,5.40,2.70
Scott Spiezio,CHC/,2008,2006,3,426,0.000,-1.421,-0.14,0.3584,114.5482,114.1813,6.890,0.69,12.17,1.77,1.77
Scott Thorman,Pit,2010,2007,2,260,0.000,-4.642,-0.46,0.3143,87.3300,83.9850,-4.920,-0.50,7.43,-0.22,-0.22
Scott Van Slyke,Tam/,2017,2012,6,2158,22.242,-28.950,-0.67,0.3507,129.0032,133.0521,71.620,7.17,61.66,10.44,12.67
Sea Bass Gonzalez,Det/,2013,2009,3,1145,10.117,13.577,2.37,0.2813,77.4697,72.9185,-33.750,-3.38,32.71,1.25,2.26
Sean Barker,Ari,2007,2007,1,345,0.000,1.232,0.12,0.3353,96.4200,95.6700,-1.810,-0.18,9.86,0.93,0.93
Sean Casey,STL/,2008,2006,3,1557,0.000,-27.804,-2.78,0.3250,92.9679,92.0166,-15.040,-1.50,44.49,0.17,0.17
Sean Halton,Mil,2014,2014,1,17,0.000,-0.425,-0.04,0.1660,10.4000,-14.9800,-1.990,-0.20,0.49,-0.16,-0.16
Sean Rodriguez,SF/D,2019,2007,9,2708,4.596,7.938,1.27,0.3054,93.6400,93.0532,-19.770,-1.98,77.37,6.55,7.01
Sebastian Valle,Atl,2015,2015,1,191,-1.698,3.537,0.18,0.2033,34.1400,18.4500,-15.860,-1.59,5.46,-0.69,-0.86
Sergio Alcantara,NYN,2019,2019,1,242,-1.133,2.778,0.16,0.2869,80.5100,79.2200,-5.330,-0.53,6.91,0.44,0.33
Sergio Pedroza,CWS,2008,2008,1,501,0.000,-5.368,-0.54,0.2713,57.0200,55.5300,-26.070,-2.61,14.31,-1.72,-1.72
Seth Smith,NYN/,2018,2009,9,4574,-25.587,-53.136,-7.87,0.3358,110.5479,112.5306,60.560,6.04,130.69,13.80,11.24
Shane Costa,NYY,2008,2008,1,218,0.000,-2.336,-0.23,0.2818,69.4900,62.7600,-9.500,-0.95,6.23,-0.56,-0.56
Shane Peterson,KC,2016,2016,1,8,0.000,-0.200,-0.02,0.4574,225.3500,222.2300,0.970,0.10,0.23,0.20,0.20
Shane Robinson,ChA,2015,2012,3,513,6.331,-2.366,0.39,0.3136,99.3653,102.4115,1.220,0.12,14.66,2.91,3.55
Shane Victorino,StL/,2016,2006,8,4646,29.307,0.535,2.99,0.3199,94.9740,96.5059,-18.190,-1.81,132.74,11.52,14.45
Shannon Stewart,SDP/,2008,2006,2,937,0.000,-10.039,-1.01,0.2940,75.7989,72.7993,-29.630,-2.97,26.77,-1.30,-1.30
Shawn Green,CWS/,2008,2006,3,1436,0.000,-15.386,-1.54,0.3384,102.2494,100.3428,0.970,0.10,41.03,2.67,2.67
Shawn O'Malley,Mil,2018,2018,1,82,-0.136,0.802,0.07,0.2671,68.8600,65.1800,-2.980,-0.30,2.34,0.01,0.00
Shawn Riggans,STL/,2010,2006,4,588,0.000,10.500,1.05,0.3210,90.2307,88.8397,-7.180,-0.71,16.80,2.02,2.02
Shawn Zarraga,ChA,2016,2015,2,650,-4.563,9.869,0.53,0.2803,81.2678,79.0764,-13.720,-1.37,18.57,1.47,1.02
Shea Hillenbrand,Atl/,2007,2006,2,957,0.000,-21.561,-2.16,0.3313,96.9401,96.7494,-3.380,-0.34,27.34,0.24,0.24
Shelley Duncan,SD/S,2011,2008,4,1294,-3.088,-21.136,-2.42,0.3641,120.4927,121.8020,32.450,3.24,36.97,4.82,4.52
Shin-Soo Choo,Sea/,2019,2007,11,5474,2.288,-61.449,-5.92,0.3402,111.2520,114.6529,90.530,9.05,156.40,18.55,18.77
Shohei Ohtani,Cin,2019,2019,4,1048,-77.096,-18.716,-9.60,0.3732,137.6318,144.3183,49.220,4.92,29.94,6.04,-1.67
Skip Schumaker,LAN/,2011,2008,4,1995,-7.850,-2.812,-1.07,0.3131,90.0884,87.7373,-27.500,-2.76,57.00,2.66,1.87
Slade Heathcott,Was,2018,2017,2,156,2.189,-1.769,0.04,0.3234,107.2550,108.0415,1.310,0.13,4.46,0.40,0.62
So Taguchi,TOR/,2008,2006,3,355,0.000,1.268,0.12,0.2429,39.0696,36.5025,-26.370,-2.64,10.14,-1.50,-1.50
Socrates Brito,SF,2019,2019,1,460,4.336,1.786,0.61,0.2880,84.5800,80.0500,-9.730,-0.97,13.14,0.52,0.96
Spencer Kieboom,Mil,2017,2017,1,96,-0.631,1.972,0.13,0.2871,86.8100,79.7800,-2.040,-0.20,2.74,0.27,0.21
Starlin Castro,StL/,2019,2011,8,5076,-49.207,46.084,-0.31,0.3173,104.6950,103.4646,17.940,1.79,145.03,20.90,15.98
Starling Marte,Oak,2019,2012,8,4041,168.834,-40.068,12.87,0.3044,94.8680,94.7093,-23.420,-2.34,115.46,5.20,22.08
Stefen Romero,Pit,2017,2016,2,118,-2.405,-0.057,-0.25,0.2531,69.7558,57.9569,-5.100,-0.51,3.37,-0.18,-0.42
Stephen Drew,Was/,2018,2007,12,4710,11.272,46.179,5.73,0.3168,94.0426,93.3869,-38.070,-3.81,134.57,14.27,15.39
Stephen Holm,NYA/,2010,2009,2,289,0.000,5.161,0.51,0.2630,56.6196,50.5146,-16.400,-1.64,8.26,-0.30,-0.30
Stephen Lombardozzi,Sea,2013,2013,1,38,0.054,0.128,0.02,0.2590,62.9300,59.3700,-1.650,-0.16,1.09,-0.04,-0.03
Stephen Piscotty,LAN/,2019,2014,5,2710,18.896,-14.543,0.44,0.3033,95.7480,92.9387,-19.150,-1.92,77.43,4.37,6.26
Stephen Vogt,KC/P,2019,2012,9,2348,-23.474,23.442,0.00,0.2871,82.9511,80.7666,-47.130,-4.71,67.09,4.34,2.00
Steve Clevenger,Phi/,2017,2012,5,819,-7.658,11.394,0.38,0.2704,69.6309,66.1708,-29.480,-2.95,23.40,0.53,-0.24
Steve Finley,NYA/,2007,2006,2,485,0.000,1.732,0.18,0.2972,75.1997,72.8332,-15.560,-1.56,13.86,0.00,0.00
Steve Holm,NYA,2011,2011,1,427,0.000,9.052,0.91,0.2412,49.5400,42.5400,-25.730,-2.57,12.20,-0.45,-0.45
Steve Lombardozzi Jr.,Sea,2015,2014,2,44,0.065,-0.180,-0.01,0.3530,128.8575,133.2375,1.490,0.15,1.26,0.26,0.26
Steve Pearce,Tam/,2019,2008,7,3528,-46.786,-40.027,-8.68,0.3422,118.8585,120.0988,78.080,7.79,100.80,13.87,9.19
Steven Moya,Cin,2018,2018,1,618,-10.065,-6.831,-1.69,0.3147,102.4700,101.5800,1.020,0.10,17.66,1.18,0.18
Steven Pearce,SD,2010,2009,2,619,0.000,-9.168,-0.92,0.3205,93.1593,90.5669,-6.670,-0.67,17.69,0.18,0.18
Steven Souza,Cin/,2019,2016,5,1373,-21.008,-2.960,-2.38,0.3278,108.8625,112.2805,17.670,1.77,39.23,5.40,3.30
Steven Tolleson,Tam,2011,2011,1,456,-1.616,1.999,0.04,0.3020,90.9600,88.9400,-5.290,-0.53,13.03,0.97,0.81
T.J. Bohn,LAN,2007,2007,1,10,0.000,-0.107,-0.01,0.3388,94.8500,97.9600,-0.020,0.00,0.29,0.02,0.02
T.J. Rivera,Phi,2018,2017,2,1135,-3.228,3.164,0.00,0.3025,93.7907,91.9102,-9.610,-0.96,32.43,2.60,2.28
Tadahito Iguchi,DET/,2009,2007,3,941,0.000,3.361,0.33,0.3341,98.2375,97.0459,-2.950,-0.29,26.89,2.74,2.74
Taylor Green,ChN/,2013,2012,2,617,-2.995,0.684,-0.23,0.2856,79.4573,76.2923,-15.810,-1.58,17.63,0.25,-0.05
Taylor Lindsey,LAA,2017,2017,1,36,-0.601,0.150,-0.05,0.2640,60.3600,62.1400,-1.430,-0.14,1.03,-0.02,-0.08
Taylor Motter,LAN,2019,2016,4,879,-5.224,1.516,-0.37,0.2850,82.6976,80.6892,-17.940,-1.80,25.11,0.86,0.34
Taylor Teagarden,NYN/,2010,2009,2,196,0.000,3.500,0.35,0.3644,120.1382,121.4771,4.840,0.48,5.60,1.39,1.39
Taylor Ward,Atl,2019,2018,2,802,-7.325,14.700,0.74,0.2950,86.7831,85.9446,-11.740,-1.17,22.91,2.59,1.86
Teoscar Hernandez,Bos,2019,2019,1,378,10.208,-4.291,0.59,0.3026,94.1400,91.1000,-3.570,-0.36,10.80,0.29,1.31
Terrence Long,ChN/,2007,2006,2,655,0.000,-7.018,-0.70,0.3394,102.2171,101.0468,0.480,0.05,18.71,1.22,1.22
Terrmel Sledge,Col/,2007,2006,2,1092,0.000,-11.700,-1.17,0.3061,79.9955,77.6661,-28.820,-2.88,31.20,-0.93,-0.93
Terry Evans,WAS,2008,2008,1,21,0.000,-0.225,-0.02,0.2665,67.8900,52.2900,-1.170,-0.12,0.60,-0.08,-0.08
Terry Tiffee,NYA/,2010,2006,3,412,0.000,1.471,0.15,0.2923,74.8437,70.5042,-13.790,-1.38,11.77,-0.06,-0.06
Thomas Manzella,STL,2010,2010,1,607,0.000,6.504,0.65,0.2670,59.8100,53.1600,-32.540,-3.25,17.34,-0.87,-0.87
Thomas Neal,Pit,2013,2013,1,54,1.761,-0.583,0.12,0.2400,49.9000,45.1500,-3.160,-0.32,1.54,-0.22,-0.05
Thomas Pham,Tor,2015,2015,1,370,3.155,-3.623,-0.05,0.3299,118.1100,117.9300,6.750,0.68,10.57,1.37,1.69
Tim Beckham,LAA,2019,2013,6,1421,-9.327,6.408,-0.30,0.2702,73.3686,67.1539,-48.260,-4.84,40.60,-0.14,-1.07
Tim Federowicz,Mil/,2019,2013,5,970,-1.360,19.203,1.79,0.3009,94.3992,92.5028,-7.640,-0.76,27.71,3.93,3.80
Tim Locastro,StL,2019,2018,2,792,-11.244,-7.808,-1.91,0.2908,80.8339,82.9800,-14.280,-1.42,22.63,0.06,-1.06
Tim Olson,AZ,2006,2006,1,54,0.000,0.193,0.02,0.2573,59.3100,48.1300,-3.250,-0.32,1.54,-0.15,-0.15
Tim Raines,BAL,2008,2008,1,82,0.000,-0.879,-0.09,0.2859,72.7200,65.5300,-3.310,-0.33,2.34,-0.18,-0.18
Tim Salmon,SF,2006,2006,1,281,0.000,-3.011,-0.30,0.3569,114.0100,116.8000,5.480,0.55,8.03,1.05,1.05
Tino Martinez,DET,2006,2006,1,622,0.000,-11.107,-1.11,0.3204,90.9000,91.6300,-6.040,-0.60,17.77,0.07,0.07
Toby Hall,ATL,2006,2006,1,246,0.000,4.393,0.44,0.3186,91.9600,90.4000,-2.740,-0.27,7.03,0.87,0.87
Todd Frazier,Oak/,2019,2010,9,3961,11.972,12.641,2.46,0.3261,109.9816,111.2009,44.980,4.50,113.17,17.08,18.28
Todd Greene,LAA/,2007,2006,2,457,0.000,8.161,0.82,0.2864,68.6592,64.3282,-19.790,-1.98,13.06,0.14,0.14
Todd Helton,Min/,2013,2006,7,4103,3.481,-73.079,-6.95,0.3661,120.9192,123.6607,112.440,11.24,117.23,15.66,16.00
Todd Hollandsworth,HOU,2007,2006,2,165,0.000,-1.768,-0.18,0.2972,77.6848,74.9718,-4.870,-0.49,4.71,-0.20,-0.20
Todd Linden,MIL,2009,2007,3,400,0.000,-4.286,-0.43,0.3865,132.7815,133.0569,15.680,1.56,11.43,2.28,2.28
Todd Pratt,CHC,2006,2006,1,110,0.000,1.964,0.20,0.4310,161.1500,167.9600,8.670,0.87,3.14,1.38,1.38
Todd Walker,Mil/,2007,2006,2,982,0.000,3.507,0.35,0.3628,118.1424,119.7536,22.090,2.21,28.06,5.37,5.37
Tom Murphy,Pit,2019,2019,1,30,-0.168,0.241,0.01,0.3183,103.8600,102.9300,0.090,0.01,0.86,0.12,0.10
Tom Wilson,TOR,2006,2006,1,132,0.000,2.357,0.24,0.3627,118.5000,120.8500,3.190,0.32,3.77,0.93,0.93
Tomas Perez,Bal,2007,2006,2,31,0.000,-0.182,-0.02,0.1921,12.0281,3.2958,-3.580,-0.36,0.89,-0.29,-0.29
Tomas Telis,Tor,2019,2017,3,632,-0.756,11.971,1.12,0.2730,72.1371,69.1696,-20.460,-2.05,18.06,0.95,0.88
Tommy Joseph,NYA,2019,2017,3,1833,-3.610,-41.201,-4.48,0.3322,113.4512,114.2440,27.370,2.73,52.37,3.85,3.49
Tommy la Stella,Min/,2019,2014,6,2465,-4.952,7.011,0.20,0.2842,81.4047,79.7973,-51.840,-5.18,70.43,2.56,2.07
Tommy Manzella,StL,2011,2011,1,3,0.000,-0.075,-0.01,0.0000,-100.0000,-141.5100,-0.760,-0.08,0.09,-0.12,-0.12
Tommy Medica,Oak,2015,2015,1,489,0.000,-12.225,-1.22,0.3315,115.3800,119.1400,9.530,0.95,13.97,3.23,3.23
Tommy Pham,Col,2019,2017,3,1387,25.684,-3.703,2.19,0.3592,132.9845,134.8038,50.790,5.08,39.63,8.67,11.24
Tony Abreu,CHN/,2012,2008,5,886,3.776,3.303,0.72,0.3234,97.6216,96.9426,-2.720,-0.27,25.32,2.59,2.97
Tony Alvarez,PHI,2006,2006,1,599,0.000,2.139,0.21,0.3025,82.9700,79.2800,-14.400,-1.44,17.11,0.49,0.49
Tony Batista,WAS,2006,2006,1,92,0.000,0.329,0.03,0.3000,78.0100,77.6000,-2.390,-0.24,2.63,0.06,0.06
Tony Clark,BAL/,2008,2006,3,881,0.000,-15.733,-1.58,0.3505,111.1103,111.4562,11.670,1.16,25.17,2.10,2.10
Tony Cruz,LAA,2014,2013,2,477,-0.253,9.629,0.94,0.2961,91.8569,88.0809,-6.340,-0.64,13.63,1.69,1.66
Tony Graffanino,NYN/,2009,2006,4,1385,0.000,-6.797,-0.68,0.3235,91.3718,90.3810,-15.490,-1.54,39.57,1.74,1.74
Tony Gwynn,Oak,2012,2011,2,583,26.173,1.083,2.73,0.2612,62.5813,57.8697,-26.240,-2.62,16.66,-0.85,1.77
Tony Gwynn Jr.,Mil,2014,2014,1,132,2.577,-1.012,0.16,0.2337,45.8200,38.3600,-8.270,-0.83,3.77,-0.55,-0.30
Tony Kemp,Was/,2019,2015,5,1888,-22.411,3.968,-1.84,0.2901,85.3649,83.9246,-31.670,-3.16,53.94,2.63,0.39
Tony Pena,OAK,2009,2008,2,238,0.000,2.550,0.26,0.2662,59.3924,52.9824,-12.940,-1.29,6.80,-0.36,-0.36
Tony Sanchez,KC/S,2016,2014,3,216,-1.071,3.847,0.28,0.2285,47.4854,34.7706,-14.160,-1.42,6.17,-0.42,-0.53
Tony Wolters,Mia,2019,2018,2,273,-0.566,5.401,0.49,0.2476,56.1015,49.6195,-14.440,-1.44,7.80,-0.12,-0.18
Tony Womack,SEA,2006,2006,1,26,0.000,0.093,0.01,0.2162,21.7300,19.8300,-2.420,-0.24,0.74,-0.16,-0.16
Torii Hunter,Cle/,2015,2007,8,4844,-21.168,-2.928,-2.40,0.3302,103.0496,102.3607,15.580,1.54,138.40,15.09,12.97
Travis Buck,CIN,2011,2008,4,1144,2.369,-11.921,-0.96,0.2977,83.2531,79.1879,-23.570,-2.35,32.69,-0.27,-0.04
Travis d'Arnaud,NYN/,2019,2012,9,2471,-17.576,36.349,1.88,0.2721,74.7707,70.1335,-76.410,-7.63,70.60,3.07,1.31
Travis Hafner,OAK,2013,2006,7,4246,0.000,-106.150,-10.62,0.3762,128.7756,130.9075,154.710,15.48,121.32,21.34,21.34
Travis Ishikawa,Tam/,2011,2009,3,310,0.000,-5.708,-0.57,0.2850,67.9234,66.3464,-11.810,-1.18,8.86,-0.77,-0.77
Travis Jankowski,Min,2019,2018,2,1152,15.221,0.092,1.53,0.2700,67.7480,66.9779,-39.960,-3.99,32.91,-0.69,0.83
Travis Lee,ChA/,2007,2006,2,596,0.000,-10.643,-1.07,0.2949,71.6785,70.9975,-20.580,-2.05,17.03,-1.41,-1.41
Travis Shaw,LAN/,2019,2016,4,1695,4.757,2.885,0.76,0.3091,96.3691,96.5569,-5.890,-0.59,48.43,4.54,5.02
Travis Snider,StL/,2016,2009,5,1954,-15.804,-19.327,-3.52,0.3243,107.3142,108.6393,16.900,1.69,55.83,5.34,3.76
Travis Taijeron,Bal,2016,2016,1,273,0.000,-6.825,-0.68,0.2673,73.2300,68.7200,-8.460,-0.85,7.80,-0.02,-0.02
Trayce Thompson,Bal,2017,2017,1,128,0.829,-1.511,-0.07,0.3644,139.4600,138.7400,5.200,0.52,3.66,0.74,0.82
Trayvon Robinson,Det/,2014,2011,2,671,2.446,2.243,0.47,0.3413,116.9292,118.9218,13.300,1.33,19.17,3.54,3.78
Trea Turner,Tam,2019,2016,4,1954,15.338,8.880,2.42,0.3118,98.5851,98.7530,-2.480,-0.24,55.83,6.23,7.77
Trevor Crowe,Hou/,2011,2010,2,357,-2.601,0.984,-0.17,0.3140,94.1538,89.6386,-4.020,-0.40,10.20,0.72,0.46
Trevor Plouffe,Ari/,2017,2012,6,3274,-21.211,10.495,-1.07,0.3068,97.7484,96.0995,-12.510,-1.25,93.54,9.16,7.03
Trevor Story,Bal,2019,2016,3,1748,0.675,19.027,1.97,0.3106,100.8057,100.0785,-0.160,-0.01,49.94,6.89,6.95
Trey Mancini,NYN/,2019,2017,3,778,-2.016,-13.927,-1.60,0.3069,97.3525,95.2394,-3.800,-0.38,22.23,0.45,0.25
Trey Michalczewski,NYN,2019,2019,1,565,-7.773,4.449,-0.33,0.2389,51.2500,43.0000,-34.140,-3.41,16.14,-1.35,-2.13
Trot Nixon,AZD/,2008,2006,3,486,0.000,-5.207,-0.52,0.3566,113.2384,116.2880,9.010,0.90,13.89,1.77,1.77
Troy Glaus,LAA/,2011,2006,6,3770,-10.027,13.550,0.36,0.3621,118.7492,120.2750,89.030,8.90,107.71,21.03,20.03
Troy Tulowitzki,Mia/,2019,2007,12,6848,78.348,71.748,15.01,0.3371,112.4291,113.5124,96.090,9.61,195.66,36.35,44.19
Tsuyoshi Nishioka,StL,2013,2012,2,791,-12.075,2.906,-0.92,0.3122,97.3396,95.6449,-3.780,-0.38,22.60,2.17,0.96
Tucker Barnhart,Hou,2019,2017,3,801,2.523,14.549,1.71,0.2367,49.8761,41.4833,-49.390,-4.94,22.89,-1.20,-0.94
Tuffy Gosewisch,Mil,2013,2013,1,55,-0.086,1.072,0.10,0.2010,22.9800,15.9700,-4.940,-0.49,1.57,-0.23,-0.23
Tug Hulett,ARI,2010,2009,2,589,0.000,4.532,0.45,0.2984,76.7506,75.3131,-16.680,-1.67,16.83,0.47,0.47
Ty Kelly,Tex,2016,2015,2,323,-0.401,-2.321,-0.27,0.2965,87.2671,91.7929,-2.690,-0.26,9.23,0.43,0.39
Ty Wigginton,Min/,2014,2006,8,2075,-5.881,-18.258,-2.41,0.3214,95.7249,94.5073,-14.280,-1.43,59.29,2.67,2.09
Tydus Meadows,Was,2007,2007,1,61,0.000,-0.654,-0.07,0.2897,67.8000,65.6100,-2.550,-0.25,1.74,-0.14,-0.14
Tyler Austin,StL/,2019,2013,3,694,-5.309,-6.547,-1.18,0.3367,115.6954,117.7100,12.980,1.30,19.83,2.63,2.10
Tyler Bortnick,SF,2014,2014,1,426,1.972,1.666,0.36,0.2946,84.0500,86.3300,-5.920,-0.59,12.17,0.79,0.99
Tyler Colvin,Pit,2013,2011,2,619,-2.069,-6.056,-0.81,0.2990,94.1107,88.0095,-7.790,-0.78,17.69,0.38,0.18
Tyler Flowers,Tor/,2019,2012,4,1197,-12.223,23.945,1.18,0.2958,85.8517,86.3856,-17.160,-1.72,34.20,4.10,2.87
Tyler Goeddel,Hou,2017,2016,2,937,-1.195,-15.060,-1.63,0.3135,103.9599,104.1093,3.560,0.35,26.77,1.52,1.40
